title,url,image,openTypeList,detail,baseInfoKeyList,baseInfoValueList
标准,http://www.baike.com/wiki/标准,http://a3.att.hudong.com/11/71/50200009239445155972718820976_s.jpg,IT服务创新##中国地质##分子生物学##哲学理论##地质学##基本物理概念##天文学##数学术语##术语##机械##机械零件##条形码##物理学##环境工程##生物化学##科学##羽毛球##自然科学##防护手套,标准是对重复性事物和概念所做的统一规定，他以科学技术和实践经验的结合成果为基础，经有关方面协商一致，由主管机构批准，以特定形式发布作为共同遵守的准则和依据。,中文名：##拼音：##应用学科：##适用范围：##领域：,标准##biāo zhǔn##哲学，技术，化学，测量学等##效率，玩具，医学设备##机器和工具的安全，可靠性
edu,http://www.baike.com/wiki/edu,http://a3.att.hudong.com/70/49/50200009239445155965491102131_s.jpg,,edu 是互联网的通用顶级域名之一，主要供教育机构，如各类学校及各类教育院校使用。它原供全世界的教育机构使用，但实际使用的教育机构大部份位于美国。,名称：##释义：##主要供给：##使用者位于：,EDU##互联网的通用顶级域名之一##教育机构##使用的教育机构大部份位于美国
http,http://www.baike.com/wiki/http,//www.huimg.cn/entry/images/summary_default270x233.png,,"超文本传输协议（HTTP，HyperText Transfer Protocol)是互联网上应用最为广泛的一种网络协议。所有的WWW文件都必须遵守这个标准。设计HTTP最初的目的是为了提供一种发布和接收HTML页面的方法。1960年美国人Ted Nelson构思了一种通过计算机处理文本信息的方法，并称之为超文本（hypertext）,这成为了HTTP超文本传输协议标准架构的发展根基。Ted Nelson组织协调万维网协会（World Wide Web Consortium）和互联网工程工作小组（Internet Engineering Task Force ）共同合作研究，最终发布了一系列的RFC，其中著名的RFC 2616定义了HTTP 1.1。",中文名称：##外文名：##英文全称：##目的：,超文本传输协议##HTTP##HyperText Transfer Protocol##提供一种发布和接收页面的方法
省部级,http://www.baike.com/wiki/省部级,http://a0.att.hudong.com/78/35/50200009239445155357351093102_s.jpg,公务员,省部级一般是指国家、各部委、各机构、各局、（主任、局长、署长）的正副部长级领导，中共中央、国务院、全国人大常委会，全国政协（正副秘书长）、最高人民检察院常务副检察长（党组副书记）和副检察长，最高人民法院常务副院长（党组副书记）和副院长、中央管理的企业和高校正副部长级领导，中央巡视组（组长副组长） 中央巡视组（正部级巡视专员、副部级巡视专员）、 中共中央纪委派驻的机构和部委的纪检组长、（自治区 、省、直辖市 ）党委、政府、人大常委会、政协正副职 领导。（副省级城市）党委、政府、人大常委会、政协正职领导、（自治区 、省、直辖市 ）人民检察院检察长、人民法院院长。,中文名：##英文名：##解释：##举例：##地区：##领域：,省部级##provincial level##国家各部委局正副部长等##中央组织部、宣传常务副部长等##中国##政治
人数,http://www.baike.com/wiki/人数,http://a4.att.hudong.com/65/93/50200009239445155972938129161_s.jpg,,人数，就是人的总数，一个对人数量的数额。通常使用数字来具体统计，有时也用一个大概的范围来估计。,名称：##拼音：##出处：##释义：##文学体裁：##【注音】：,人数##rén shù##《庄子·达生》##人的总数/众人，人的数目##词语##ㄖㄣˊ ㄕㄨˋ
科研,http://www.baike.com/wiki/科研,http://a0.att.hudong.com/38/03/20300576614166158477036578418_s.jpg,生活##社会##科学##自然辩证法名词,一般是指利用科研手段和装备，为了认识客观事物的内在本质和运动规律而进行的调查研究、实验、试制等一系列的活动，为创造发明新产品和新技术提供理论依据。科学研究的基本任务就是探索、认识未知。,中文名：##英文名：##定义：##类型：##起 源：,科学研究##Scientific research##指利用科研手段和装备进行的活动##基础研究，应用研究等##科学研究起源于问题
经济学,http://www.baike.com/wiki/经济学,http://a2.att.hudong.com/07/98/20300544386288157397987700242_s.jpg,,经济学（Economics），是研究人类经济活动的规律即价值的创造、转化、实现的规律——经济发展规律的理论，分为政治经济学与科学经济学两大类型。,中文名：##英文名：##起源：##所属学科：,经济学##Economics##中国古代经济学##社会科学
点击数,http://www.baike.com/wiki/点击数,//www.huimg.cn/entry/images/summary_default270x233.png,DVD,点击数，是DNL误差的数学积分，即一个具有良好INL的ADC保证有良好的DNL。,,
格式,http://www.baike.com/wiki/格式,http://a1.att.hudong.com/45/44/50200009239445155514444414024_s.jpg,,格式，是汉语词汇，汉语拼音为gé shì，指官吏处事的规则法度。语出《北史·崔仲方传》：“时武帝 阴有灭齐志， 仲方献二十策，帝大奇之。复与少内史赵芬删定格式。”,,
科学,http://www.baike.com/wiki/科学,http://a4.att.hudong.com/42/69/50200014992522154424698464636_s.jpg,书刊##刊物,《科学》（英语：Science）是美国科学促进会（英语：American Association for the Advancement of Science，AAAS）出版的一份学术期刊，为全世界最权威的学术期刊之一。《科学》是发表最好的原始研究论文、以及综述和分析当前研究和科学政策的同行评议的期刊之一。该杂志于1880年由爱迪生投资1万美元创办，于1894年成为美国最大的科学团体“美国科学促进会”（American Association for the Advancement of Science ，AAAS)的官方刊物。全年共51期，为周刊，全球发行量超过150万份。,名称：##英文名：##语种：##主编：##出版周期：##官方网站：##学科：##出版历史：##出版者：##投资人：##投资金额：,科学##Science##英语##Marcia McNutt##一周##http://www.sciencemag.org/##多学科##1880年至今##美国科学促进会（AAAS）##爱迪生##1万
网络,http://www.baike.com/wiki/网络,http://a2.att.hudong.com/75/35/20300001128119143438357291824_s.jpg,,网络是由若干节点和连接这些节点的链路构成，表示诸多对象及其相互联系。在数学上，网络是一种图，一般认为专指加权图。网络除了数学定义外，还有具体的物理含义，即网络是从某种相同类型的实际问题中抽象出来的模型。在计算机领域中，网络是信息传输、接收、共享的虚拟平台，通过它把各个点、面、体的信息联系到一起，从而实现这些资源的共享。网络是人类发展史来最重要的发明，提高了科技和人类社会的发展。,中文名：##英文名：##俄语：##拉丁语：##法语：##日语：##韩语：,网络##Network##сеть##retiacula##Réseau##ネットワーク##네트워크
机制,http://www.baike.com/wiki/机制,http://a0.att.hudong.com/12/99/50200009239445155962997603307_s.jpg,医学名词##基本物理概念##机械##汉语##物理学##理论##社会学##社会学基本概念##社会学研究理论##经济学##计算机术语##计算机科学技术名词##语言,机制，是指各要素之间的结构关系和运行方式。,名称：##拼音：##出处：##释义：,机制##jī zhì##《汕头海关歌寄伯瑶》##有机体的构造
日期,http://www.baike.com/wiki/日期,http://a3.att.hudong.com/70/43/50200009239445155979436330685_s.jpg,,日期是一个汉语词汇，读音为rì qī，意思是约定的日子和时间；指发生某一事情的确定的日子或时期。《元史·郝经传》等均有相关记载。,名称：##拼音：##释义：##近义词：##外文名称：##注音：##示例：##引证解释：##基本解释：##词性：,日期##rì qī##约定的日子和时间##日历##date##ㄖˋ　ㄑㄧˊ##邮戳上的日期模糊不清##指发生某一事情的确定的日子##邮戳上的日期模糊不清##名词
官网,http://www.baike.com/wiki/官网,http://a3.att.hudong.com/10/06/20300543894912146892065816516_s.jpg,互联网,官方网站（Official website，简称官网）是公开团体主办者，体现其意志想法，团体信息公开，并带有专用、权威、公开性质的一种网站。官方网站的重要性：品牌形象的第一站、最及时的信息传播途径、JCG最权威的对外信息标准。官方网站的推广：SEO及付费推广、网络链接、网络垂直媒体硬广、地面媒体硬广、名片口碑。,网站名称：##外文名：##别称：##推广：##重要性：##常用域名：##官方：,官方网站##Official website##官方网站##SEO及付费推广##品牌形象的第一站##gov、edu、com##公家方面的部门，多指政府
时间,http://www.baike.com/wiki/时间,http://a3.att.hudong.com/54/67/50200009239445155865677431728_s.jpg,,时间，是物质的运动、变化的持续性、顺序性的表现，包含时刻和时段两个概念。时间是人类用以描述物质运动过程或事件发生过程的一个参数，确定时间，是靠不受外界影响的物质周期变化的规律。以地球自转为基础的时间计量系统称为世界时系统。日、月、年、世纪的时间计量属天文学中的历法范畴。以地球自转运动为基础的时间单位称为“日”，以月球绕地球公转运动为基础的时间单位称为“月”，以地球绕太阳公转运动为基础的时间单位称为“年”。,中文名称：##外文名：##符号：##拼音：##基本单位：##常用单位：,智谋家族##请输入该人物的其它外文名，如日文、德文##t##shí jiān##秒、S##毫秒ms、分min、小时h、日d
家,http://www.baike.com/wiki/家,http://a4.att.hudong.com/54/74/01300000249013122405744054511_s.jpg,,家，现代汉语常用字、一级字，读作jiā，最早见于甲骨文，其本意是屋内、住所，《史记·乐毅列传》：“乐羊死，葬于灵寿，其后子孙因家焉。”引申为安家落户、定居，家还可引申为自己家庭的住房、室内及机关部队等单位的住地等意。,拼音：##繁体：##笔画：##部首：##释义：,"jiā##家##10##宀##家 (会意。甲骨文字形,上面是“宀”,表示与室家有关,下面是“豕”,即猪。古代生产力低下,人们多在屋子里养猪,所以房子里有猪就成了人家的标志。本义:屋内,住所)"
人才,http://www.baike.com/wiki/人才,http://a3.att.hudong.com/78/06/20300542533328139970065182371_s.jpg,,人才，是指具有一定的专业知识或专门技能，进行创造性劳动并对社会作出贡献的人，是人力资源中能力和素质较高的劳动者。人才是我国经济社会发展的第一资源。,名称：##拼音：##出处：##反义词：##外文名称：##注 音：,人才[词语概念]##rén cái##《易经》##白痴、庸才##Talent##ㄖㄣˊ ㄘㄞˊ
在校生,http://www.baike.com/wiki/在校生,http://a0.att.hudong.com/40/68/50200009239445155514681878178_s.jpg,,在校生，是一款聚焦学生最后一公里服务的多功能手机APP软件，由北京慧校网络科技有限公司全力打造，为高校的同学提供两大模块：校园超市和跳蚤市场。,,
刊物,http://www.baike.com/wiki/刊物,http://a1.att.hudong.com/73/31/50200009239445155972313562824_s.jpg,,刊物，登载各类作品的定期或不定期的连续出版物。一般名称固定，按顺序编号，装订成册。根据其发行对象（受众）来划分，分为内部刊物和公开发行两种。,名称：##拼音：##释义：##外文名称：##注 音：##示 例：,刊物##kān wù##登载各类作品的定期或不定期的连续出版物##publication##ㄎㄢ ㄨˋ##儿童刊物
营员,http://www.baike.com/wiki/营员,//www.huimg.cn/entry/images/summary_default270x233.png,,"详细解释/营员 编辑


			
		清代绿旗兵的武官。清 昭梿 《啸亭杂录·朱白泉狱中上百朱二公书》：“拨荡为购，减厅员冒销之利；按束交方，拂营员偷换之欲。”《清史稿·兵志一》：“驻防兵以佐领领之；绿旗兵以营员领之，而特设将军为之总辖。”",,
重点,http://www.baike.com/wiki/重点,http://a4.att.hudong.com/04/99/50200009239445155972995895677_s.jpg,数学名词##数学术语##术语##科学##自然科学,基本解释：,名称：##拼音：##出处：##释义：##例句：,重点##zhòng diǎn##《青年团的工作要照顾青年的特点》##指主要的或重要的一个或几个部分 在一幅风景画中被用作重点的植物##“青年团的工作……重点要放在多数，不要只看到少数”
成果,http://www.baike.com/wiki/成果,http://a2.att.hudong.com/71/70/50200009239445155862701098512_s.jpg,,成果意为成全，成立。是收获到的果实，常用于指工作或事业方面的成就。也可指指学习、工作、劳动上的成效和成绩。,名称：##拼音：##释义：##外文名称：##国 籍：##民 族：##出生地：,成果##chénɡ ɡuǒ##成全，成立##achievement；fruit；gain；positive result；harvest##中国##壮族##广西
政策,http://www.baike.com/wiki/政策,http://a1.att.hudong.com/07/01/50200009239445155965019307234_s.jpg,,国家政权机关、政党组织和其他社会政治集团为了实现自己所代表的阶级、阶层的利益与意志，以权威形式标准化地规定在一定的历史时期内，应该达到的奋斗目标、遵循的行动原则、完成的明确任务、实行的工作方式、采取的一般步骤和具体措施。,名称：##拼音：##释义：##外文名称：##目的：##实质：##形式：,政策##zhèng cè##国家政权机关、政党组织和其他社会政治集团采取的一般步骤和具体措施##policy##实现利益与意志##观念化、主体化、实践化反映##权威形式标准化规定
原件,http://www.baike.com/wiki/原件,http://a4.att.hudong.com/83/89/50200009239445155970895323443_s.jpg,档案##法律##法律术语##社会,包括有档案原件，户口原件、保密文件、商标原件、限制文件、法律原件和其他文件 原件等。,中文名：##定义：##包 括：##意 义：,原件##最初产生区别于复制件的原始文件##档案原件，户口原件、保密文件##有更高的法律效应
全文,http://www.baike.com/wiki/全文,http://a3.att.hudong.com/25/04/20200005812996154864047768650_s.jpg,汉语##词典##词汇##词语,全文，指文章、文件等的所有文字。,名称：##拼音：##出处：##释义：,全文##quán wén##《吹网录·开赵埋铭》##整篇文章；文章的全部文字
世界,http://www.baike.com/wiki/世界,http://a2.att.hudong.com/10/78/01300542501271140003782587220_s.jpg,,世界（world）广义上来讲，就是全部、所有、一切。现在一般来讲世界指的是人类赖以生存的地球。世界也代称有天地、天下、此岸、世间、万物、世上等。,名称：##拼音：##外文名称：##原 意：##法 译：##德 译：##俄 译：##日 译：##注 音：,世界##shì jiè##World##大自然的总名##monde##welt##мир##世界##ㄕˋ ㄐㄧㄝˋ
教务,http://www.baike.com/wiki/教务,http://a0.att.hudong.com/78/19/50200009239445155979191979003_s.jpg,,教务，是汉语词汇，解释为有关教学活动的行政事务。,名称：##拼音：##释义：##外文名称：,教务vvvvvvvvv##jiào wù##有关教学活动的行政事务##Educational administration
武汉市,http://www.baike.com/wiki/武汉市,http://a2.att.hudong.com/71/27/50200009239445155800279892550_s.jpg,城市,武汉，简称“汉”，别称“江城”，是湖北省省会，中部六省唯一的副省级市和特大城市，中国中部地区的中心城市，长江经济带核心城市，全国重要的工业基地、科教基地和综合交通枢纽，中央军委联勤保障部队驻地。全市下辖13个市辖区，总面积8494.41平方公里，2018年常住人口1108.1万人，地区生产总值1.48万亿元。,中文名：##外文名：##别称：##所属地区：##面积：##人口：##GDP：##地理位置：##著名景点：##市花、市树：##机场：##电话区码：##政府驻地：##火车站：##行政类别：##地方方言：##著名学校：##车牌代码：##地区生产总值：##现任领导：##城镇人均收入：##城市类别：##城市精神：##气候条件：##市长：##邮政编码：##下辖区域：,武汉##Wuhan##江城、大武汉、九省通衢、东方芝加哥##中国华中地区 湖北省##8494.41平方公里##1091.4万（2017年）##123111元（2017年）##江汉平原东部，长江、汉江交汇处##东湖、黄鹤楼、木兰天池、汉口租界、归元寺、欢乐谷、汉口江滩等##市树：水杉；市花：梅花##武汉天河国际机场、顺丰国际机场##027##江岸区沿江大道188号##武昌站、汉口站、武汉站、光谷站、新汉阳站等##地级市##西南官话-武天片-武汉话##武汉大学、华中科技大学等##鄂A##13410.34亿元（2017年）##市委书记：马国强；市长：周先旺##123111元（2017年）##地级市##敢为人先，追求卓越##亚热带季风气候##周先旺##430000##13个市辖区
照片,http://www.baike.com/wiki/照片,http://a1.att.hudong.com/62/43/50200014992522154424433406725_s.jpg,,长春崔氏音乐有限公司旗下A.Tempo组合成员白居颖专辑同名歌曲《照片》，2015年发行！,中文名：##制片人：##演唱者：##音乐公司：##发行时间：##地区：##语言：##所属专辑：##歌曲原唱：##音乐风格：##曲目数量：,照片##权泫雨，老李，Tempo(朴金圣)##白居颖##长春崔氏音乐有限公司##2015年7月19日##中国##韩语，普通话##《照片》##白居颖##流行##2
成绩单,http://www.baike.com/wiki/成绩单,http://a2.att.hudong.com/04/79/20300543346090145439793306711_s.jpg,书籍##出版物,《成绩单》是安德鲁·克莱门斯（Andrew Clements）作品，吴梅瑛翻译，唐唐绘画。,,
倾向,http://www.baike.com/wiki/倾向,http://a2.att.hudong.com/85/90/50200009239445155978907569954_s.jpg,中国地质##二字地质学术语##地球科学##地质学##地质学名词##地震学术语##数学术语##科学##自然科学,倾向是层面上与走向线垂直并沿斜面向下所引的直线叫倾向线，倾向线在水平面投影的方向即倾向。,名称：##拼音：##释义：##例句：##作品名称：##创作年代：##作者：##词性：,倾向##qīng xiàng##倾心向往##人至，辱书，伏承法候安裕，倾向倾向。##《与大觉禅师琏公书》##宋##苏轼##动词，名词
交通费,http://www.baike.com/wiki/交通费,http://a1.att.hudong.com/30/64/50200009239445155972644651504_s.jpg,交通##法律##生活##财务术语,交通费，指受害人及其必要的陪护人员因就医或者转院治疗所实际发生的用于交通的费用。交通费由车辆购置税、养路费、车船使用税、过路费、油费、保险费、日常维修保养费用构成。,中文名：##英文名：##拼音：##定义：##出处：##类型：##费用构成：##依 据：##相关法规：,交通费##Transportation costs##jiāo tōng fèi##指受害人及其必要的陪护人员因就医或者转院治疗所实际发生的用于交通的费用##《医疗事故处理条例》第五十条##法律术语##车辆购置税、养路费、车船使用税##正式的交通费的票证收据为准##《工伤保险条例》
本科,http://www.baike.com/wiki/本科,http://a2.att.hudong.com/04/29/20300576610247158469291969383_s.jpg,,本科教育（undergraduate education），高等教育的中级层次。属联合国教科文组织《国际教育标准分类》的第三级第一阶段（授予大学第一级学位或同等学历证书）教育。与专科教育、研究生教育构成高等教育内部的 3 个层次，为高等教育的主干部分。一般招收高中毕业生或具有同等学历者。,名称：##拼音：##释义：##外文名称：##教育层次：##开办院校：##修业年限：##学历类型：##办学性质：##相应学位：##毕业年龄：,本科##benke##学历的一种##undergraduate##大学本科##大学或学院##4-5年(普通全日制)##普通，成人，高等教育自学考试##公办本科，民办本科##学士学位##一般在22-24岁之间
段,http://www.baike.com/wiki/段,http://a0.att.hudong.com/63/77/50200009239445155964775790970_s.jpg,,段是一个汉字，读音为duàn。形声，从殳(shū)，耑(duān)声。“殳”，是古代的一种兵器，这里用作意符，表示与手持器械的动作有关。段还有分段、段落和截断等意思。,中文名：##拼音：##外文名：##笔画：##部首：##笔顺：##五笔码：##仓颉码：##郑码：##统一汉字：##注音：,段##duàn##section，piece，division##9##殳##321113554##WDM##HJHNE##NCQX##U+6BB5##ㄉㄨㄢˋ
结构,http://www.baike.com/wiki/结构,http://a3.att.hudong.com/35/79/50200009239445155960798033421_s.jpg,,结构是一个汉语词汇，读音为jié gòu，由组成整体的各部分的搭配和安排；建筑物承重部分的构造；构筑；建造等意思。,名称：##拼音：##释义：##外文名称：,结构##jié gòu##建筑物承重部分的构造、构筑、建造##Structure
身份证,http://www.baike.com/wiki/身份证,http://a2.att.hudong.com/57/57/20300576610174158477570357266_s.jpg,国际旅游证件##标签##社会科学##证件,居民身份证，是用于证明持有人身份的一种法定证件，多由各国或地区政府发行予公民。并作为每个人重要的身份证明文件。,中文名：##英文名：##：##持有者：##用途：##使用地区：,身份证##ID Card##古代官员的识别符号##个人##中国境内公民身份的证明文件之一##中国境内
比例,http://www.baike.com/wiki/比例,http://a3.att.hudong.com/44/69/50200009239445155800695372466_s.jpg,,比例（proportion）是一个数学术语，表示两或多个比相等的式子。在一个比例中，两个外项的积等于两个内项的积，叫做比例的基本性质。,比例基本性质：##解比例：##常数名称：##意 义：,两个外项的积等于两个内项的积##求比例其中一个未知项##比例系数或比例常数##反映总体的构成或者结构
网址,http://www.baike.com/wiki/网址,http://a3.att.hudong.com/56/63/20200004851707154840634564022_s.jpg,流行语##生活##网址##网络,网址通常指因特网上网页的地址。企事业单位或个人通过技术处理，将一些信息以逐页的方式储存在因特网上，每一页都有一个相应的地址，以便其他用户访询而获取信息资料，这样的地址叫做网址。,域名选择：,xyz、.cn、.com、.net、.edu
校史,http://www.baike.com/wiki/校史,http://a2.att.hudong.com/43/57/50200009239445155666573450147_s.jpg,教育史,校史是对一所学校发展轨迹的真实记录，是指记录学校建立发展和变迁的过程的文献资料。高校校史是地方史和教育史的重要组成部分，是高校校园文化建设的重要内容，具有“留史、资政、育人”的重要作用。一部科学、真实、系统的校史，记载着学校创建、发展、壮大的历程，是大学办学特色和大学精神的重要体现，对创建高水平大学具有重要意义。由于校史漫长往往与一所大学的办学传统和办学水平密切相关，百年或大几十年校庆隆重盛大，有利于对学生进行学校传统教育和优良校风教育，也有利于增强校友对母校的认同感和凝聚力，有利于吸引更多的社会捐助，因此各高校多希望本校历史越悠久越好，希望校史能够尽量上延。同时，也出现个别高等学校互相攀比校庆年份，不尊重历史，牵强追溯校史，随意更改校庆年份的不良现象。,,
研究生,http://www.baike.com/wiki/研究生,http://a3.att.hudong.com/41/71/20300576610247158462713574465_s.jpg,,研究生（Postgraduate）是高等教育的一种学历，一般由拥有硕士点、博士点的普通高等学校和研究生培养资格的科研机构开展，以研究生为最高学历，研究生毕业后，也可称研究生，含义为具有研究生学历的人。,中文名：,研究生
专业,http://www.baike.com/wiki/专业,http://a1.att.hudong.com/35/55/50200009239445155966550762221_s.jpg,,专业指的：(1) 专门从事某种学业或职业。(2) 专门的学问。(3) 高等学校或中等专业学校所分的学业门类。(4) 产业部门的各业务部分。(5) 是指一种物质或某种作业的作用范围。,名称：##拼音：##外文名称：##注 音：,专业##zhuān yè##Major；Specialty##ㄓㄨㄢ ㄧㄝˋ
湖北省,http://www.baike.com/wiki/湖北省,http://a4.att.hudong.com/76/47/50200014992522154410473476711_s.jpg,,湖北省，简称“鄂”，是中华人民共和国省级行政区，省会武汉。湖北省地处中国中部地区，东邻安徽，西连重庆，西北与陕西接壤，南接江西、湖南，北与河南毗邻，介于北纬29°01′53″—33°6′47″、东经108°21′42″—116°07′50″之间，东西长约740千米，南北宽约470千米，总面积18.59万平方千米，占中国总面积的1.94%。最东端是黄梅县，最西端是利川市，最南端是来凤县，最北端是郧西县。,中文名：##外文名：##别称：##所属地区：##面积：##人口：##GDP：##地理位置：##著名景点：##机场：##电话区码：##政府驻地：##火车站：##行政类别：##车牌代码：##气候条件：##邮政编码：##下辖区域：##行政区划代码：,湖北##Hubei##鄂、楚、荆楚##中国 中部##18.59万平方千米##5917万人（2018年常住人口）##39366.55亿元（2018年）##华中##黄鹤楼、武汉东湖、神农架、武当山、长江三峡、隆中风景区等##武汉天河国际机场、宜昌三峡机场，十堰武当山机场等##027、0710-0728##武汉市武昌区洪山路7号##武昌站、汉口站、武汉站、宜昌东站、襄阳站等##行政省##鄂A—鄂S##亚热带季风气候、高山气候##430000-443000##12个地级市、1个自治州、3个省直管县级市、1个林区##420000
学业,http://www.baike.com/wiki/学业,http://a1.att.hudong.com/56/67/20300576603596158098675175005_s.jpg,,学业 ，汉语词汇。,,
讲座,http://www.baike.com/wiki/讲座,http://a1.att.hudong.com/70/12/50200009239445155963125834226_s.jpg,佛学常见词汇##培训##宗教##社会,"讲座，拼音：jiǎng zuò 是一种教学形式,多利用报告会、广播等方式进行。",名称：##拼音：##外文名称：##词性：##注 音：,讲座##jiǎng zuò##chair/institute##名词##ㄐㄧㄤˇ ㄗㄨㄛˋ
